question_id,title,question,loading_dim1,loading_dim2
1270,SKAT OG AFGIFTER,"<p>De boligejere, der tjener mest p&aring; prisstigninger, skal betale mere i skat</p>",-0.4072846048812771,3.7467868444378083
1271,"KLIMA, MILJØ OG LANDBRUG","<p>Reglerne for dyrevelf&aelig;rd skal strammes, selv om det kan g&oslash;re f&oslash;devarer fra Danmark dyrere</p>",-0.12136222603268232,2.0446811005810273
1272,SUNDHED OG ÆLDRE,<p>Aktiv d&oslash;dshj&aelig;lp for uhelbredeligt syge skal v&aelig;re lovligt i Danmark</p>,0.02759069918650986,-0.4863405480430917
1275,ØKONOMI OG ARBEJDSMARKED,<p>Danmark bruger for mange penge p&aring; at st&oslash;tte Ukraine i krigen mod Rusland</p>,-1.1686895437672882,-0.5833317428328578
1277,"KLIMA, MILJØ OG LANDBRUG","<p>Det skal v&aelig;re forbudt for landbruget at spr&oslash;jte p&aring; s&aring;rbare drikkevandsomr&aring;der, selv om det kan g&oslash;re produktionen af f&oslash;devarer dyrere</p>",-0.060958613596295716,2.726434593471993
1278,"KLIMA, MILJØ OG LANDBRUG",<p>Atomkraft p&aring; dansk jord skal v&aelig;re en del af energiforsyningen p&aring; l&aelig;ngere sigt</p>,0.2699255397894543,-2.9229998447606396
1280,ØKONOMI OG ARBEJDSMARKED,<p>Staten skal sk&aelig;re i st&oslash;tten til Danmarks Radio</p>,-0.30248760629526167,-4.042621687773806
1281,REGERINGSDANNELSE,"<p>Det vil v&aelig;re bedst, hvis der dannes en regering hen over midten</p>",1.5611319114908493,0.5838314300455708
1283,RETSPOLITIK,<p>Forbuddet mod at br&aelig;nde religi&oslash;se skrifter som Koranen og Bibelen skal oph&aelig;ves</p>,-0.757709839394138,-1.0269616442712353
1284,RIGSFÆLLESSKAB,"<p>Danmark skal arbejde for, at Gr&oslash;nland og F&aelig;r&oslash;erne bliver mere selvst&aelig;ndige end i dag</p>",0.40078534902848767,1.3573908187249648
1286,SKAT OG AFGIFTER,<p>Selskabsskatten skal s&aelig;nkes</p>,1.3277898065743703,-2.874654408527148
1287,SKAT OG AFGIFTER,<p>Momsen p&aring; f&oslash;devarer skal s&aelig;nkes</p>,-0.90113851481894,0.29740624402216703
1288,SOCIAL OG ULIGHED,"<p>Det er okay, at den &oslash;konomiske ulighed stiger, s&aring; l&aelig;nge alle bliver rigere</p>",1.0864800075360148,-3.10328332046511
1289,SOCIAL OG ULIGHED,<p>Der skal v&aelig;re st&oslash;rre udligning mellem rige og fattige kommuner</p>,-0.597863214561928,1.0632043951047456
1290,SUNDHED OG ÆLDRE,<p>Prisen p&aring; cigaretter b&oslash;r s&aelig;ttes markant op</p>,0.4950110014711835,1.265117196522885
1291,SUNDHED OG ÆLDRE,<p>Det skal v&aelig;re lovligt at k&oslash;be og ryge hash</p>,0.22921516263856484,0.740158472583722
1292,TRANSPORT,<p>Det er vigtigere at investere i tog og busser end i motorveje</p>,-0.11097690637033938,3.834082635209624
1293,TRANSPORT,<p>Afgifter p&aring; benzin og diesel skal s&aelig;nkes</p>,-1.135742403247683,-2.9306899591451714
1295,SKOLE OG UDDANNELSE,"<p>Det skal v&aelig;re lettere at smide elever ud af deres folkeskole, hvis deres adf&aelig;rd skaber problemer</p>",-0.10675101351622807,-2.8704511224063745
1297,SKOLE OG UDDANNELSE,<p>Der bliver uddannet for mange med lange videreg&aring;ende uddannelser</p>,-0.8371512098479873,-1.4929832257064077
1298,ØKONOMI OG ARBEJDSMARKED,<p>Danmark skal bruge f&aelig;rre penge p&aring; udviklingsbistand</p>,-0.6929314812322119,-3.6305218697841948
1299,SUNDHED OG ÆLDRE,"<p>Det er vigtigere, at der kan skaffes nok ansatte til &aelig;ldreplejen, end om de kan tale dansk</p>",1.069084481791334,1.2006539522178878
1300,UDLÆNDINGE,<p>Det er vigtigere at kunne udvise flere kriminelle udl&aelig;ndinge end at overholde internationale konventioner</p>,-0.7119005362734414,-3.610500697390457
1301,ØKONOMI OG ARBEJDSMARKED,"<p>Folkepensionsalderen skal fortsat stige med et &aring;r, n&aring;r den gennemsnitlige levealder stiger med et &aring;r</p>",2.448404485034055,-1.5838199576047098
1303,ØKONOMI OG ARBEJDSMARKED,"<p>Fremtidens &aelig;ldrepleje skal sikres ved, at folk i job selv er med til at spare op til &aelig;ldreplejen</p>",1.3613893675294748,-1.3611359763725932
1304,ØKONOMI OG ARBEJDSMARKED,"<p>Store Bededag skal genindf&oslash;res som helligdag, selv om det koster staten penge</p>",-1.524694854689966,-0.4696449145311453
1305,ØKONOMI OG ARBEJDSMARKED,<p>Overf&oslash;rselsindkomsten til de fattigste kontanthj&aelig;lpsmodtagere skal s&aelig;ttes op</p>,-0.6818504951484916,3.486649456128596
1306,ØKONOMI OG ARBEJDSMARKED,"<p>Politikerne skal arbejde for en aftale om at s&aelig;tte arbejdstiden ned, selv om det vil koste samfundet og den enkelte noget &oslash;konomisk</p>",-1.0385958652847522,2.6886254570956147
1307,ØKONOMI OG ARBEJDSMARKED,<p>Der skal &aring;bnes for mere udenlandsk arbejdskraft fra lande uden for Europa og Nordamerika</p>,1.7451344997541645,1.6534272684085067
